Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Andre Ethier,Dodgers,5.153,2011,False,False,False,10950000.0,Andre,Ethier,MLBTR
Andres Torres,Mets,4.115,2011,False,False,False,2700000.0,Andres,Torres,MLBTR
Andrew Miller,Red Sox,3.062,2011,False,False,False,1040000.0,Andrew,Miller,MLBTR
Andrew Bailey,Red Sox,3.0,2011,False,False,False,3900000.0,Andrew,Bailey,MLBTR
Angel Pagan,Giants,5.144,2011,False,False,False,4850000.0,Angel,Pagan,MLBTR
Anibal Sanchez ,Marlins,5.099,2011,False,False,False,8000000.0,Anibal,Sanchez ,MLBTR
Asdrubal Cabrera,Indians,4.027,2011,False,False,False,4550000.0,Asdrubal,Cabrera,MLBTR
Ben Francisco,Blue Jays,4.049,2011,False,False,False,1538000.0,Ben,Francisco,MLBTR
Bill Bray,Reds,4.018,2011,False,False,False,1417000.0,Bill,Bray,MLBTR
Blake DeWitt,Cubs,3.048,2011,False,False,False,1100000.0,Blake,DeWitt,MLBTR
Boone Logan,Yankees,4.14,2011,False,False,False,1875000.0,Boone,Logan,MLBTR
Brad Ziegler,Diamondbacks,3.122,2011,False,False,False,1795000.0,Brad,Ziegler,MLBTR
Brad Bergesen ,Orioles,2.147,2011,False,False,False,800000.0,Brad,Bergesen ,MLBTR
Brandon McCarthy,Athletics,5.122,2011,False,False,False,4275000.0,Brandon,McCarthy,MLBTR
Brandon Morrow,Blue Jays,4.091,2011,True,False,False,,Brandon,Morrow,MLBTR
Brandon League,Mariners,5.145,2011,False,False,False,5000000.0,Brandon,League,MLBTR
Brayan Pena,Royals,4.081,2011,False,False,False,875000.0,Brayan,Pena,MLBTR
Brett Gardner,Yankees,3.072,2011,False,False,False,2800000.0,Brett,Gardner,MLBTR
Burke Badenhop,Rays,3.116,2011,False,False,False,1075000.0,Burke,Badenhop,MLBTR
Carlos Villanueva,Blue Jays,5.03,2011,False,False,False,2277000.0,Carlos,Villanueva,MLBTR
Carlos Gomez,Brewers,4.141,2011,False,False,False,1962000.0,Carlos,Gomez,MLBTR
Carlos Quentin,Padres,5.065,2011,False,False,False,7025000.0,Carlos,Quentin,MLBTR
Casey Janssen,Blue Jays,5.063,2011,True,False,False,,Casey,Janssen,MLBTR
Casey McGehee,Pirates,3.028,2011,False,False,False,2538000.0,Casey,McGehee,MLBTR
Charlie Morton,Pirates,3.01,2011,False,False,False,2445000.0,Charlie,Morton,MLBTR
Chase Headley,Padres,3.123,2011,False,False,False,3450000.0,Chase,Headley,MLBTR
Chris Denorfia,Padres,4.041,2011,False,False,False,1165000.0,Chris,Denorfia,MLBTR
Chris Perez,Indians,3.136,2011,False,False,False,4500000.0,Chris,Perez,MLBTR
Chris Volstad,Cubs,3.076,2011,False,False,False,2655000.0,Chris,Volstad,MLBTR
Chris Resop,Pirates,3.038,2011,False,False,False,850000.0,Chris,Resop,MLBTR
Chris Getz,Royals,3.05,2011,False,False,False,968000.0,Chris,Getz,MLBTR
Clayton Kershaw,Dodgers,3.105,2011,True,False,False,,Clayton,Kershaw,MLBTR
Clayton Richard,Padres,3.07,2011,False,False,False,2705000.0,Clayton,Richard,MLBTR
Colby Rasmus,Blue Jays,3.0,2011,False,False,False,2700000.0,Colby,Rasmus,MLBTR
Cole Hamels,Phillies,5.143,2011,False,False,False,15000000.0,Cole,Hamels,MLBTR
Craig Breslow,Diamondbacks,4.088,2011,False,False,False,1795000.0,Craig,Breslow,MLBTR
Dallas Braden,Athletics,4.039,2011,False,False,False,3350000.0,Dallas,Braden,MLBTR
Dana Eveland,Orioles,3.008,2011,False,False,False,750000.0,Dana,Eveland,MLBTR
Daniel Bard,Red Sox,2.148,2011,False,False,False,1613000.0,Daniel,Bard,MLBTR
Daric Barton,Athletics,3.057,2011,False,False,False,1100000.0,Daric,Barton,MLBTR
Darren O'Day,Orioles,3.103,2011,False,False,False,1350000.0,Darren,O'Day,MLBTR
David Murphy,Rangers,4.087,2011,False,False,False,3625000.0,David,Murphy,MLBTR
David Price,Rays,2.164,2011,False,False,False,4350000.0,David,Price,MLBTR
David Robertson,Yankees,3.07,2011,False,False,False,1600000.0,David,Robertson,MLBTR
David Ortiz,Red Sox,13.048,2011,False,False,False,14575000.0,David,Ortiz,MLBTR
Delmon Young,Tigers,5.034,2011,False,False,False,6750000.0,Delmon,Young,MLBTR
Dexter Fowler,Rockies,2.168,2011,False,False,False,2350000.0,Dexter,Fowler,MLBTR
Don Kelly,Tigers,2.149,2011,False,False,False,900000.0,Don,Kelly,MLBTR
Donnie Murphy,Marlins,3.075,2011,False,False,False,560000.0,Donnie,Murphy,MLBTR
Dustin McGowan,Blue Jays,5.113,2011,False,False,False,600000.0,Dustin,McGowan,MLBTR
Dustin Moseley,Padres,4.03,2011,False,False,False,2013000.0,Dustin,Moseley,MLBTR
Edinson Volquez,Padres,4.059,2011,False,False,False,2237000.0,Edinson,Volquez,MLBTR
Edward Mujica,Marlins,4.115,2011,False,False,False,1625000.0,Edward,Mujica,MLBTR
Elvis Andrus,Rangers,3.0,2011,True,False,False,,Elvis,Andrus,MLBTR
Emilio Bonifacio ,Marlins,3.066,2011,False,False,False,2200000.0,Emilio,Bonifacio ,MLBTR
Emmanuel Burriss,Giants,2.152,2011,False,False,False,625000.0,Emmanuel,Burriss,MLBTR
Eric O'Flaherty,Braves,4.062,2011,False,False,False,2490000.0,Eric,O'Flaherty,MLBTR
Erick Aybar,Angels,5.086,2011,False,False,False,5075000.0,Erick,Aybar,MLBTR
Evan Meek,Pirates,3.037,2011,False,False,False,875000.0,Evan,Meek,MLBTR
Felipe Paulino,Royals,3.163,2011,False,False,False,1900000.0,Felipe,Paulino,MLBTR
Francisco Liriano,Twins,5.104,2011,False,False,False,5500000.0,Francisco,Liriano,MLBTR
Francisco Rodriguez,Brewers,8.15,2011,False,False,False,8000000.0,Francisco,Rodriguez,MLBTR
Franklin Morales,Red Sox,3.007,2011,False,False,False,850000.0,Franklin,Morales,MLBTR
Garrett Jones ,Pirates,2.158,2011,False,False,False,2250000.0,Garrett,Jones ,MLBTR
George Kottaras,Brewers,2.149,2011,False,False,False,700000.0,George,Kottaras,MLBTR
Geovany Soto,Cubs,4.096,2011,False,False,False,4300000.0,Geovany,Soto,MLBTR
Gio Gonzalez,Nationals,2.162,2011,True,False,False,,Gio,Gonzalez,MLBTR
Glen Perkins,Twins,4.01,2011,False,False,False,1550000.0,Glen,Perkins,MLBTR
Homer Bailey,Reds,3.017,2011,False,False,False,2425000.0,Homer,Bailey,MLBTR
Howie Kendrick,Angels,5.091,2011,True,False,False,,Howie,Kendrick,MLBTR
Humberto Quintero,Astros,5.141,2011,False,False,False,1000000.0,Humberto,Quintero,MLBTR
Hunter Pence,Phillies,4.156,2011,False,False,False,10400000.0,Hunter,Pence,MLBTR
Ian Stewart,Cubs,3.05,2011,False,False,False,2237000.0,Ian,Stewart,MLBTR
J.A. Happ,Astros,3.047,2011,False,False,False,2350000.0,J.A.,Happ,MLBTR
J.P. Howell,Rays,5.007,2011,False,False,False,1350000.0,J.P.,Howell,MLBTR
Jack Hannahan,Indians,3.065,2011,False,False,False,1135000.0,Jack,Hannahan,MLBTR
Jacoby Ellsbury,Red Sox,4.037,2011,False,False,False,8050000.000000001,Jacoby,Ellsbury,MLBTR
Jair Jurrjens,Braves,4.047,2011,False,False,False,5500000.0,Jair,Jurrjens,MLBTR
James Loney,Dodgers,5.012,2011,False,False,False,6375000.0,James,Loney,MLBTR
Jarrod Saltalamacchia,Red Sox,4.043,2011,False,False,False,2500000.0,Jarrod,Saltalamacchia,MLBTR
Jason Grilli,Pirates,5.016,2011,False,False,False,1100000.0,Jason,Grilli,MLBTR
Jason Motte,Cardinals,3.027,2011,False,False,False,1950000.0,Jason,Motte,MLBTR
Jason Vargas,Mariners,4.114,2011,False,False,False,4850000.0,Jason,Vargas,MLBTR
Jed Lowrie,Astros,3.111,2011,False,False,False,1150000.0,Jed,Lowrie,MLBTR
Jeff Mathis,Blue Jays,5.012,2011,False,False,False,1500000.0,Jeff,Mathis,MLBTR
Jeff Baker,Cubs,5.049,2011,False,False,False,1375000.0,Jeff,Baker,MLBTR
Jeff Karstens,Pirates,4.132,2011,False,False,False,3100000.0,Jeff,Karstens,MLBTR
Jeff Niemann ,Rays,3.022,2011,False,False,False,2750000.0,Jeff,Niemann ,MLBTR
