Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Hernandez, Enrique",2019,4.054,1600000.0,3725000.0,,,,,,,,,,,,,,,,,,,,,,,Enrique,Hernandez,2b-ss
"Pederson, Joc",2019,4.028,2600000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,Joc,Pederson,cf
"Bradley Jr., Jackie",2019,4.15,6100000.0,8550000.0,,,,,,,,,,,,,,,,,,,,,,,Jackie,Bradley Jr.,cf
"Cron, C.J.",2019,4.097,2300000.0,4800000.0,,,,,,,,,,,,,,,,,,,,,,,C.J.,Cron,1b-dh
"Hedges, Austin",2019,2.166,553100.0,2060000.0,,,,,,,,,,,,,,,,,,,,,,,Austin,Hedges,c
"Abreu, Jose",2019,5.0,13000000.0,16000000.0,,,,,,,,,,,,,,,,,,,,,,,Jose,Abreu,1b
"Puig, Yasiel",2019,5.102,9214286.0,9700000.0,,,,,,,,,,,,,,,,,,,,,,,Yasiel,Puig,rf
"Franco, Maikel",2019,3.17,2950000.0,5200000.0,,,,,,,,,,,,,,,,,,,,,,,Maikel,Franco,3b
"Grichuk, Randal",2019,4.033,2800000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,Randal,Grichuk,lf
"Pina, Manny",2019,3.046,560100.0,1750000.0,,,,,,,,,,,,,,,,,,,,,,,Manny,Pina,c
"Profar, Jurickson",2019,4.165,1050000.0,3600000.0,,,,,,,,,,,,,,,,,,,,,,,Jurickson,Profar,lf
"Culberson, Charlie",2019,3.084,575000.0,1395000.0,,,,,,,,,,,,,,,,,,,,,,,Charlie,Culberson,2b-3b
"Russell, Addison",2019,3.167,3200000.0,3400000.0,,,,,,,,,,,,,,,,,,,,,,,Addison,Russell,ss
"Canha, Mark",2019,3.092,545000.0,2050000.0,,,,,,,,,,,,,,,,,,,,,,,Mark,Canha,1b-lf
"Rojas, Miguel",2019,4.038,1180000.0,3155000.0,,,,,,,,,,,,,,,,,,,,,,,Miguel,Rojas,ss
"Kratz, Erik",2019,4.156,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,Erik,Kratz,c
"Hamilton, Billy",2019,5.028,4600000.0,4250000.0,,,,,,,,,,,,,,,,,,,,,,,Billy,Hamilton,cf
"Zunino, Mike",2019,4.165,2975000.0,4412500.0,,,,,,,,,,,,,,,,,,,,,,,Mike,Zunino,c
"Murphy, John Ryan",2019,3.043,558000.0,900000.0,,,,,,,,,,,,,,,,,,,,,,,John Ryan,Murphy,c
"Wolters, Tony",2019,2.161,550000.0,960000.0,,,,,,,,,,,,,,,,,,,,,,,Tony,Wolters,c
"Duvall, Adam",2019,3.096,645000.0,2875000.0,,,,,,,,,,,,,,,,,,,,,,,Adam,Duvall,lf
