Player,Position,Salary,Year
"Palmeiro, Orlando",of,"$550,000 ",2000.0
"Patterson, Danny",rp,"$550,000 ",2000.0
"Stephenson, Garret",sp,"$550,000 ",2000.0
"Rodriguez, Felix",rp,"$537,500 ",2000.0
"DiFelice, Mike",c,"$525,000 ",2000.0
"Zaun, Gregg",c,"$525,000 ",2000.0
"Sweeney, Mark",1b,"$515,000 ",2000.0
"Cordova, Marty",of,"$500,000 ",2000.0
"Escobar, Kelvim",rhp-s,"$500,000 ",2000.0
"Hocking, Denny",inf-of,"$500,000 ",2000.0
"Lee, Travis",1b,"$500,000 ",2000.0
"Pratt, Todd",c,"$500,000 ",2000.0
"Hansen, Dave",inf,"$475,000 ",2000.0
"Parque, Jim",sp,"$475,000 ",2000.0
"Franco, Matt",of,"$462,500 ",2000.0
"Ortiz, Russ",rhp-s,"$462,500 ",2000.0
"Castillo, Alberto",c,"$425,000 ",2000.0
"Counsell, Craig",spec ass't to GM,"$425,000 ",2000.0
"Ordonez, Magglio",rf,"$425,000 ",2000.0
"Millwood, Kevin",rhp-s,"$420,000 ",2000.0
"Casey, Sean",1b,"$400,000 ",2000.0
"Graves, Danny",rhp,"$400,000 ",2000.0
"Holtz, Mike",p,"$400,000 ",2000.0
"Hubbard, Trinidad",of,"$400,000 ",2000.0
"Osik, Keith",c,"$400,000 ",2000.0
"Ponson, Sidney",rhp-s,"$400,000 ",2000.0
"Cruz Jr., Jose",of,"$395,000 ",2000.0
"Castillo, Luis",2b,"$390,000 ",2000.0
"Halladay, Roy",rhp-s,"$383,333 ",2000.0
"Alfonseca, Antonio",rp,"$380,000 ",2000.0
"Ritchie, Todd",p,"$380,000 ",2000.0
"Castillo, Frank",sp,"$375,000 ",2000.0
"Foulke, Keith",rhp,"$375,000 ",2000.0
"Stynes, Chris",3b-2b,"$375,000 ",2000.0
"Telemaco, Amaruy",p,"$375,000 ",2000.0
"Varitek, Jason",c,"$375,000 ",2000.0
"Owens, Eric",of,"$370,000 ",2000.0
"Meadows, Brian",sp,"$360,000 ",2000.0
"Kline, Steve",lhp,"$355,000 ",2000.0
"Beltran, Carlos",rf,"$350,000 ",2000.0
"Mecir, Jim",rp,"$350,000 ",2000.0
"Mordecai, Mike",inf,"$350,000 ",2000.0
"Relaford, Desi",inf,"$345,000 ",2000.0
"Vidro, Jose",dh-2b,"$340,000 ",2000.0
"Koch, Billy",rp,"$333,333 ",2000.0
"Hidalgo, Richard",of,"$330,000 ",2000.0
"Arrojo, Rolando",sp,"$325,000 ",2000.0
"Batista, Miguel",rhp,"$325,000 ",2000.0
"Encarnacion, Juan",of,"$325,000 ",2000.0
"Garcia, Freddy",rhp-s,"$325,000 ",2000.0
"Hillman, Trey",Manager,"$325,000 ",2000.0
"Howry, Bobby",rhp,"$325,000 ",2000.0
"McCarty, David",1b-of,"$325,000 ",2000.0
"Pena, Tony",mgr,"$325,000 ",2000.0
"Kotsay, Mark",of-1b,"$324,000 ",2000.0
"Walker, Todd",2b,"$322,500 ",2000.0
"Dellucci, David",of,"$312,500 ",2000.0
"Fullmer, Brad",1b-of,"$310,000 ",2000.0
"Catalanotto, Frank",of,"$305,000 ",2000.0
"Konerko, Paul",1b-dh,"$305,000 ",2000.0
"Benson, Kris",rhp-s,"$300,000 ",2000.0
"Boone, Aaron",3b,"$300,000 ",2000.0
"Elarton, Scott",rhp,"$300,000 ",2000.0
"Miller, Damian",c,"$300,000 ",2000.0
"Thomson, John",p,"$300,000 ",2000.0
"Williamson, Scott",rhp,"$300,000 ",2000.0
"Berg, Dave",ss,"$295,000 ",2000.0
"Cairo, Miguel",2b-3b,"$295,000 ",2000.0
"Daubach, Brian",1b-dh,"$295,000 ",2000.0
"Gonzalez, Alex",ss,"$295,000 ",2000.0
"Halama, John",lhp,"$290,000 ",2000.0
"Rocker, John",lhp,"$290,000 ",2000.0
"Tejada, Miguel",3b,"$290,000 ",2000.0
"Wilson, Preston",of,"$287,000 ",2000.0
"Abbott, Paul",rhp,"$285,000 ",2000.0
"Brown, Adrian",of,"$285,000 ",2000.0
"Milton, Eric",lhp,"$285,000 ",2000.0
"Norton, Greg",3b,"$285,000 ",2000.0
"Sauerbeck, Scott",p,"$285,000 ",2000.0
"Jenkins, Geoff",of,"$282,000 ",2000.0
"Cain, Lorenzo",cf,"$280,000 ",2000.0
"Kapler, Gabe",of,"$280,000 ",2000.0
"McClendon, Mike",rhp,"$280,000 ",2000.0
"Miller, Derek",p,"$280,000 ",2000.0
"Rivas, Amaury",rhp,"$280,000 ",2000.0
"Vazquez, Javier",rhp-s,"$280,000 ",2000.0
"Glaus, Troy",3b,"$275,000 ",2000.0
"Ibanez, Raul",dh-lf,"$275,000 ",2000.0
"Lee, Carlos",lf,"$275,000 ",2000.0
"Levine, Al",p,"$275,000 ",2000.0
"Paniagua, Jose",rp,"$275,000 ",2000.0
"Aybar, Manny",rhp,"$270,000 ",2000.0
"Graffanino, Tony",2b-3b,"$270,000 ",2000.0
"Nixon, Trot",of,"$270,000 ",2000.0
"Dempster, Ryan",rhp-s,"$268,000 ",2000.0
"Barrett, Michael",c,"$265,000 ",2000.0
"Cabrera, Orlando",ss,"$265,000 ",2000.0
"Millar, Kevin",dh-1b,"$265,000 ",2000.0
"Yan, Esteban",rhp,"$265,000 ",2000.0
"Durazo, Erubiel",1b-of,"$260,000 ",2000.0
"Saenz, Olmedo",3b,"$260,000 ",2000.0
"Anderson, Matt",p,"$255,000 ",2000.0
"Fox, Chad",rhp,"$255,000 ",2000.0
"Ligtenberg, Kerry",rp,"$255,000 ",2000.0
"Looper, Braden",rhp-s,"$255,000 ",2000.0
"Lowell, Mike",3b,"$255,000 ",2000.0
"Pavano, Carl",rhp-s,"$255,000 ",2000.0
"Trammell, Bubba",of,"$253,000 ",2000.0
"Meche, Gil",rhp-s,"$252,500 ",2000.0
"Belliard, Ron",2b,"$250,000 ",2000.0
"Febles, Carlos",2b,"$250,000 ",2000.0
"Hudson, Tim",rhp-s,"$250,000 ",2000.0
"Johnson, Mark L.",c,"$250,000 ",2000.0
"Osuna, Antonio",rp,"$250,000 ",2000.0
"Spencer, Shane",of,"$250,000 ",2000.0
"Witasick, Jay",rp,"$250,000 ",2000.0
"Zimmerman, Jeff",rp,"$250,000 ",2000.0
"Sexson, Richie",1b,"$247,000 ",2000.0
"Jiminez, Jose",rp,"$245,000 ",2000.0
"Koskie, Corey",3b,"$245,000 ",2000.0
"Redmond, Mike",mgr,"$245,000 ",2000.0
"Venafro, Mike",lhp,"$245,000 ",2000.0
"Chavez, Eric",3b-1b,"$240,000 ",2000.0
"Dotel, Octavio",rhp,"$240,000 ",2000.0
"Fasano, Sal",c,"$240,000 ",2000.0
"Ledee, Ricky",of,"$240,000 ",2000.0
"Marrero, Eli",c,"$240,000 ",2000.0
"Mays, Joe",rhp,"$240,000 ",2000.0
"Wolf, Randy",lhp-s,"$240,000 ",2000.0
"Diaz, Einar",c,"$237,500 ",2000.0
"Ward, Daryle",of,"$237,500 ",2000.0
"Halter, Shane",inf-of,"$236,000 ",2000.0
"Blanco, Henry",c,"$235,000 ",2000.0
"Farnsworth, Kyle",rhp,"$235,000 ",2000.0
"Wilson, Enrique",2b,"$232,500 ",2000.0
"Cunnane, Will",p,"$230,000 ",2000.0
"Guzman, Cristian",ss,"$230,000 ",2000.0
"Ramirez, Aramis",3b,"$230,000 ",2000.0
"Giambi, Jeremy",of,"$228,000 ",2000.0
"Gil, Benji",inf,"$225,000 ",2000.0
"Hunter, Torii",rf,"$225,000 ",2000.0
"Jones, Jacque",of,"$225,000 ",2000.0
"Lee, Derrek",1b,"$225,000 ",2000.0
"Liefer, Jeff",inf,"$225,000 ",2000.0
"Martin, Tom",lhp,"$225,000 ",2000.0
"Nathan, Joe",rhp-c,"$225,000 ",2000.0
"Rios, Armando",of,"$225,000 ",2000.0
"Simmons, Brian",of,"$225,000 ",2000.0
"Wilson, Craig",of,"$225,000 ",2000.0
"Washburn, Jarrod",lhp-s,"$222,500 ",2000.0
"Martinez, Ramon E.",ss,"$220,000 ",2000.0
"Mercado, Hector",p,"$220,000 ",2000.0
"Ortiz, David",dh,"$220,000 ",2000.0
"Pena, Wily Mo",of,"$220,000 ",2000.0
"Perez, Odalis",lhp,"$220,000 ",2000.0
"Perisho, Matt",p,"$220,000 ",2000.0
"Polanco, Placido",3b,"$220,000 ",2000.0
"Mahay, Ron",lhp,"$217,000 ",2000.0
"Almanzar, Carlos",p,"$215,000 ",2000.0
"Anderson, Jimmy",p,"$215,000 ",2000.0
